IE_XML_ID,IE_NAME,IE_ID,IE_ACTIVE,IE_ACTIVE_FROM,IE_ACTIVE_TO,IE_PREVIEW_PICTURE,IE_PREVIEW_TEXT,IE_PREVIEW_TEXT_TYPE,IE_DETAIL_PICTURE,IE_DETAIL_TEXT,IE_DETAIL_TEXT_TYPE,IE_CODE,IE_SORT,IE_TAGS,IP_PROP1083,IP_PROP1268,IP_PROP1084,IP_PROP1269,IP_PROP1270,IP_PROP1267,IP_PROP1085,IC_GROUP0,IC_GROUP1,IC_GROUP2
320125,Футболка Finney унисексс,320125,Y,,,/upload/iblock/159/2myiinvmg071m82tatd6rxey3ex8lri6.png,"Футболка с короткими рукавами Finney, серый яркий",text,/upload/iblock/159/2myiinvmg071m82tatd6rxey3ex8lri6.png,"Футболка с короткими рукавами Finney.  Круглый вырез горловины. Воротник гладкой вязкой в рубчик. Лента от плеча к плечу. Двойная строчка на воротнике и внизу изделия. Однослойная джерси, 100% хлопок. 140 г/м2 Трафаретная печать (1 цвет (цветные изделия)) на данный товар осуществляется бесплатно. Оплачивается только настройка оборудования в размере 6923.08 рублей на весь тираж.",text,,500,,,,Большой,,,,Бланки [320132],,,
320127,Футболка Finney унисексс,320127,Y,,,/upload/iblock/159/2myiinvmg071m82tatd6rxey3ex8lri6.png,"Футболка с короткими рукавами Finney.  Круглый вырез горловины. Воротник гладкой вязкой в рубчик. Лента от плеча к плечу. Двойная строчка на воротнике и внизу изделия. Однослойная джерси, 100% хлопок. 140 г/м2 Трафаретная печать (1 цвет (цветные изделия)) на данный товар осуществляется бесплатно. Оплачивается только настройка оборудования в размере 6923.08 рублей на весь тираж.",text,/upload/iblock/159/2myiinvmg071m82tatd6rxey3ex8lri6.png,"Футболка с короткими рукавами Finney.  Круглый вырез горловины. Воротник гладкой вязкой в рубчик. Лента от плеча к плечу. Двойная строчка на воротнике и внизу изделия. Однослойная джерси, 100% хлопок. 140 г/м2 Трафаретная печать (1 цвет (цветные изделия)) на данный товар осуществляется бесплатно. Оплачивается только настройка оборудования в размере 6923.08 рублей на весь тираж.",text,,500,,,,Средний,,,,Бланки [320132],,,
320128,Футболка Finney унисексс,320128,Y,,,/upload/iblock/159/2myiinvmg071m82tatd6rxey3ex8lri6.png,"Футболка с короткими рукавами Finney.  Круглый вырез горловины. Воротник гладкой вязкой в рубчик. Лента от плеча к плечу. Двойная строчка на воротнике и внизу изделия. Однослойная джерси, 100% хлопок. 140 г/м2 Трафаретная печать (1 цвет (цветные изделия)) на данный товар осуществляется бесплатно. Оплачивается только настройка оборудования в размере 6923.08 рублей на весь тираж.",text,/upload/iblock/159/2myiinvmg071m82tatd6rxey3ex8lri6.png,"Футболка с короткими рукавами Finney.  Круглый вырез горловины. Воротник гладкой вязкой в рубчик. Лента от плеча к плечу. Двойная строчка на воротнике и внизу изделия. Однослойная джерси, 100% хлопок. 140 г/м2 Трафаретная печать (1 цвет (цветные изделия)) на данный товар осуществляется бесплатно. Оплачивается только настройка оборудования в размере 6923.08 рублей на весь тираж.",text,,500,,,,Малый,,,,Бланки [320132],,,
327828,Бланки,327828,Y,,,/upload/iblock/c7d/9emy8tp7bspza9aeuicd8zzi5w8fah79.jpg,,text,/upload/iblock/c7d/9emy8tp7bspza9aeuicd8zzi5w8fah79.jpg,,text,,500,,,4+0 (односторонняя),,офсет 80,500,A4 (210x297 мм),Бланки [320132],,,
327829,Бланки,327829,Y,,,/upload/iblock/613/pl3m1g1sk2f7brn442b36snshm2wfj5y.jpg,,text,/upload/iblock/613/pl3m1g1sk2f7brn442b36snshm2wfj5y.jpg,,text,,500,,,4+0 (односторонняя),,офсет 80,500,A5 (210x148 мм),Бланки [320132],,,
327830,Бланки,327830,Y,,,/upload/iblock/677/jrby2jpw3q6ayvmawt4aibs72iqe0555.jpg,,text,/upload/iblock/677/jrby2jpw3q6ayvmawt4aibs72iqe0555.jpg,,text,,500,,,4+0 (односторонняя),,офсет 80,500,A6 (105x148 мм),Бланки [320132],,,
327831,Бланки,327831,Y,,,/upload/iblock/b2c/v09wch7eyqvdfaa5ujl0xp6x46v50iax.jpg,,text,/upload/iblock/b2c/v09wch7eyqvdfaa5ujl0xp6x46v50iax.jpg,,text,,500,,,4+0 (односторонняя),,офсет 80,500,Евро (210x99 мм),Бланки [320132],,,
327832,Бланки,327832,Y,,,/upload/iblock/c7d/9emy8tp7bspza9aeuicd8zzi5w8fah79.jpg,,text,/upload/iblock/c7d/9emy8tp7bspza9aeuicd8zzi5w8fah79.jpg,,text,,500,,,4+0 (односторонняя),,офсет 80,1000,A4 (210x297 мм),Бланки [320132],,,
327833,Бланки,327833,Y,,,/upload/iblock/613/pl3m1g1sk2f7brn442b36snshm2wfj5y.jpg,,text,/upload/iblock/613/pl3m1g1sk2f7brn442b36snshm2wfj5y.jpg,,text,,500,,,4+0 (односторонняя),,офсет 80,1000,A5 (210x148 мм),Бланки [320132],,,
327834,Бланки,327834,Y,,,/upload/iblock/677/jrby2jpw3q6ayvmawt4aibs72iqe0555.jpg,,text,/upload/iblock/677/jrby2jpw3q6ayvmawt4aibs72iqe0555.jpg,,text,,500,,,4+0 (односторонняя),,офсет 80,1000,A6 (105x148 мм),Бланки [320132],,,
327835,Бланки,327835,Y,,,/upload/iblock/b2c/v09wch7eyqvdfaa5ujl0xp6x46v50iax.jpg,,text,/upload/iblock/b2c/v09wch7eyqvdfaa5ujl0xp6x46v50iax.jpg,,text,,500,,,4+0 (односторонняя),,офсет 80,1000,Евро (210x99 мм),Бланки [320132],,,
327836,Бланки,327836,Y,,,/upload/iblock/c7d/9emy8tp7bspza9aeuicd8zzi5w8fah79.jpg,,text,/upload/iblock/c7d/9emy8tp7bspza9aeuicd8zzi5w8fah79.jpg,,text,,500,,,4+0 (односторонняя),,офсет 80,2000,A4 (210x297 мм),Бланки [320132],,,
327837,Бланки,327837,Y,,,/upload/iblock/613/pl3m1g1sk2f7brn442b36snshm2wfj5y.jpg,,text,/upload/iblock/613/pl3m1g1sk2f7brn442b36snshm2wfj5y.jpg,,text,,500,,,4+0 (односторонняя),,офсет 80,2000,A5 (210x148 мм),Бланки [320132],,,
327838,Бланки,327838,Y,,,/upload/iblock/677/jrby2jpw3q6ayvmawt4aibs72iqe0555.jpg,,text,/upload/iblock/677/jrby2jpw3q6ayvmawt4aibs72iqe0555.jpg,,text,,500,,,4+0 (односторонняя),,офсет 80,2000,A6 (105x148 мм),Бланки [320132],,,
327839,Бланки,327839,Y,,,/upload/iblock/b2c/v09wch7eyqvdfaa5ujl0xp6x46v50iax.jpg,,text,/upload/iblock/b2c/v09wch7eyqvdfaa5ujl0xp6x46v50iax.jpg,,text,,500,,,4+0 (односторонняя),,офсет 80,2000,Евро (210x99 мм),Бланки [320132],,,
327840,Бланки,327840,Y,,,/upload/iblock/c7d/9emy8tp7bspza9aeuicd8zzi5w8fah79.jpg,,text,/upload/iblock/c7d/9emy8tp7bspza9aeuicd8zzi5w8fah79.jpg,,text,,500,,,4+0 (односторонняя),,офсет 80,3000,A4 (210x297 мм),Бланки [320132],,,
327841,Бланки,327841,Y,,,/upload/iblock/613/pl3m1g1sk2f7brn442b36snshm2wfj5y.jpg,,text,/upload/iblock/613/pl3m1g1sk2f7brn442b36snshm2wfj5y.jpg,,text,,500,,,4+0 (односторонняя),,офсет 80,3000,A5 (210x148 мм),Бланки [320132],,,
327842,Бланки,327842,Y,,,/upload/iblock/677/jrby2jpw3q6ayvmawt4aibs72iqe0555.jpg,,text,/upload/iblock/677/jrby2jpw3q6ayvmawt4aibs72iqe0555.jpg,,text,,500,,,4+0 (односторонняя),,офсет 80,3000,A6 (105x148 мм),Бланки [320132],,,
327843,Бланки,327843,Y,,,/upload/iblock/b2c/v09wch7eyqvdfaa5ujl0xp6x46v50iax.jpg,,text,/upload/iblock/b2c/v09wch7eyqvdfaa5ujl0xp6x46v50iax.jpg,,text,,500,,,4+0 (односторонняя),,офсет 80,3000,Евро (210x99 мм),Бланки [320132],,,
327844,Бланки,327844,Y,,,/upload/iblock/c7d/9emy8tp7bspza9aeuicd8zzi5w8fah79.jpg,,text,/upload/iblock/c7d/9emy8tp7bspza9aeuicd8zzi5w8fah79.jpg,,text,,500,,,4+0 (односторонняя),,офсет 80,4000,A4 (210x297 мм),Бланки [320132],,,
327845,Бланки,327845,Y,,,/upload/iblock/613/pl3m1g1sk2f7brn442b36snshm2wfj5y.jpg,,text,/upload/iblock/613/pl3m1g1sk2f7brn442b36snshm2wfj5y.jpg,,text,,500,,,4+0 (односторонняя),,офсет 80,4000,A5 (210x148 мм),Бланки [320132],,,
327846,Бланки,327846,Y,,,/upload/iblock/677/jrby2jpw3q6ayvmawt4aibs72iqe0555.jpg,,text,/upload/iblock/677/jrby2jpw3q6ayvmawt4aibs72iqe0555.jpg,,text,,500,,,4+0 (односторонняя),,офсет 80,4000,A6 (105x148 мм),Бланки [320132],,,
327847,Бланки,327847,Y,,,/upload/iblock/b2c/v09wch7eyqvdfaa5ujl0xp6x46v50iax.jpg,,text,/upload/iblock/b2c/v09wch7eyqvdfaa5ujl0xp6x46v50iax.jpg,,text,,500,,,4+0 (односторонняя),,офсет 80,4000,Евро (210x99 мм),Бланки [320132],,,
